"Date","Aevo","ApeX","Avantis","Bluefin","Drift Protocol","dYdX v3","dYdX v4","GMX","Holdstation","Hyperliquid","Jupiter","KTX Finance","Level Finance","Mux Protocol","Perpetual Protocol","RabbitX","Synthetix","Vertex Protocol"
"26-Jan-25","6119641.289700029","379762995.34807","4530056.823474803","150403635.31388998","119700281.86386499","140965578.7331","140965578.7331","295076562.94611025","176391629.24","3597386932.8570924","646406396.417829","235.47638157191997","218.9178439038419","658234.435469056","33232.39288405352","19569012.822851","11434518.39197747","19077569.331922345"
"27-Jan-25","17849584.79313862","500413556.402055","11366263.7037638","248566125.49951","288165511.12600297","520308888.450992","520308888.450992","555082199.0876225","178592935.31","10972896197.405","1460250146.868723","2388.0314415117696","1660217.5698755328","4351400.303397139","191973.1582359603","20084667.742902","58610753.5171136","71298301.51976743"
"28-Jan-25","7154452.360824645","420265804.839785","8469011.878223868","267923420.02816004","186093421.55169398","260812952.5477","260812952.5477","473094652.67100614","162084344.06","6689142362.727283","750545922.165327","18.352308197140093","820993.42386549","3636663.5067456285","87574.0363182497","20186798.124259","26368641.28501053","36457055.01006636"
"29-Jan-25","7929926.528359824","436950617.77379","17929643.20903729","164445671.64488003","138433511.071475","269191813.1272","269191813.1272","313073802.1560345","177999027.79","7487288904.76308","861054122.787219","385.1349579835902","5498.588736481358","2390779.5036834073","124245.9622437065","21009282.817862","21174837.41918026","44932508.57377648"
"30-Jan-25","8663600.589045526","398100072.97135","10722754.78537364","65418340.395449996","101341591.68234801","290242624.839","290242624.839","429967852.797469","180079069.75","5319626690.767007","684926962.261276","17.505626392978865","142902.07605964888","14373779.305719603","57784.15785487576","20241410.246953998","24710112.92901385","40943340.59973776"
"31-Jan-25","7899788.190415391","406973998.4675","12184759.5119452","139318021.27105","159649153.361297","299331004.9845","299331004.9845","760459509.4303409","179770801.64","7089116487.055542","698322558.056693","633.7407540065244","843002.7555299276","3120437.061048096","151921.6843776429","19983984.426459","19399675.02994549","47773772.420857914"
"01-Feb-25","8250145.44195149","384745683.229555","9599200.193631105","147458510.17691","128402296.71615295","202273766.113053","202273766.113053","423533700.9844287","106733315.49","5335486362.652504","692952662.593284","1472.7599113563624","979401.039299165","1682874.1215436358","129128.3525704778","18204608.149284","16732726.05200648","28700866.630234174"
"02-Feb-25","23836261.940253872","502744995.735515","9612287.420226682","173691356.65522","315778974.315336","503079615.63820004","503079615.63820004","620496128.857463","105258575.27","9044821753.934435","1390755256.980851","7942.809910911121","894783.0547674428","6917190.493230725","333299.794086005","","44053605.33952708","65248610.37876257"
"03-Feb-25","36465752.24069546","987568487.858245","10942690.77810495","194531375.75847","330995791.726618","1287920541.67","1287920541.67","788357193.8798277","105224214.67","18072547242.341385","1900960426.284099","201300.1191952099","3153920.539216178","5764894.984461403","968365.7900681036","24608152.347107","95436984.91100955","169712674.29789275"
"04-Feb-25","16052184.17885134","510312731.06997496","6706277.217856577","111886433.4629","213368325.98005196","521300903.5001","521300903.5001","864135667.0996184","109038168.27","10231406265.734413","1252697273.581236","347280.83736728557","1822772.9249519736","11167114.093962733","233626.9848651221","24482594.655274","53077029.28937149","65263616.18773051"
"05-Feb-25","8543587.680487059","389485933.542745","6489934.249508221","82231338.93367","125836319.277994","239634971.9363","239634971.9363","714596741.273594","104352626.07","5694608355.764646","576020481.218181","115929.06675123247","68153.22724919679","12589895.72315393","124760.0493438051","21215213.221118","36014379.84196188","35738555.88856672"
"06-Feb-25","14130045.52010307","394331322.849145","8762220.096732816","100838835.19608","121479777.05250698","234553998.537668","234553998.537668","579458770.1997069","105669357.55","5904659695.476219","647938021.007201","196591.6444273437","270621.91298605496","22587246.877221223","125552.1909786097","19851396.80601","39021394.21910652","48181460.941635266"
"07-Feb-25","14148530.433177205","520498545.55282","10787482.25357852","104990197.48388","135597736.30721107","295630312.216","295630312.216","416013979.7342819","101782197.33","6189394336.936545","673110382.873914","287277.38104311307","18712.252398477594","13292371.9837477","157890.1227556332","17616611.534728","46691197.5002231","44893753.809176266"
"08-Feb-25","9222355.212184926","337100582.14474","3740747.332712741","106167833.86957","87713090.87086602","110730787.436265","110730787.436265","87872217.59352726","95499968.47","3006719558.7185035","350630365.154102","384405.1343524625","242360.8295260033","7784835.851551067","128130.4044110589","17234532.877531","22561730.86614145","23341699.72111712"
"09-Feb-25","12199909.899260607","365662354.05546004","8030111.253425914","130054361.14197999","103616745.99793","156971319.780653","156971319.780653","429454333.12759954","94708204.61","3754601891.222579","521905374.348879","560980.8558448743","200812.1992614223","4568582.852746393","57718.53896359647","17792211.937638998","19140561.40222406","28634670.01769759"
"10-Feb-25","11163760.792439785","396237196.4572","9269710.7428825","120401404.09985001","103453081.55442199","187619311.98110798","187619311.98110798","413044362.1994288","94801815.41","5178632081.239136","452875733.209169","200427.05037997526","331058.6956591348","6486459.779629025","77485.7717468827","18364145.370705","22199856.23122856","36231217.92524813"
"11-Feb-25","58164546.763150156","361635588.69089997","9457564.227366151","97948241.3431","125396682.477251","197473992.842742","197473992.842742","533278911.0249646","98455224.84","6593863802.849255","441409922.952027","299100.29228388134","554892.9437897537","25157423.27753375","70475.96402997184","17836115.218755998","31912808.65337425","36638437.19337794"
"12-Feb-25","26839372.385728516","340301155.4244","19344174.6747298","95399950.77105","102657870.62855497","251534195.573796","251534195.573796","344797123.60189575","97961860.95","7575580365.846412","572063665.894093","236990.52120435738","552282.7617996063","8633228.315767119","116043.1070545574","18254704.572324","29937097.67710737","44524629.79101218"
"13-Feb-25","11267446.133528372","312766646.80131","12539924.22960053","75068069.61569","74900780.00400099","116207999.427855","116207999.427855","359883587.2448875","97643364.71","5121162003.887243","319816489.693215","403.0224973382787","1036997.7979822803","1294190.102611638","67889.86040566023","18499147.023652","19065665.49183074","45463571.12093908"
"14-Feb-25","11183946.223188436","331107917.14304","14915059.95430886","88760522.25967","96432423.48976101","140774876.309055","140774876.309055","381506627.8355884","81328386.42","5071294403.581391","388575517.85485","0","386244.26272169355","764756.6119545881","62334.62310401413","18619941.406677","32495561.87247043","35326676.52690221"
"15-Feb-25","7561210.335266107","350298606.74750996","4897620.865505972","90978798.68910001","72208328.398834","60451531.1772","60451531.1772","84419322.62188822","77114262.02","2569566270.959481","190020094.172909","675.9117371913926","75096.68238285989","479334.95751467894","23866.64978341072","17742280.670578","19381996.57153456","17035513.807139374"
"16-Feb-25","7797436.025063708","341762086.729635","6126911.159475707","83670226.14623","59097502.47390804","105028736.6146","105028736.6146","81055393.34503138","77135578.37","2576463334.9181585","251715542.702319","1192.5362296880533","117246.8043118292","5180760.581512986","32466.86607484534","24130110.050888","8423098.666632066","16105401.111635493"
"17-Feb-25","16144889.252794778","373629794.58235","12067184.40339285","99357340.32875","139894187.327483","132750210.07931699","132750210.07931699","154434200.05232322","76831987.47","5049366130.654166","554766150.923175","443.53966106721913","609299.4889397839","35125418.45324553","69434.52763384751","47739516.100304","26348373.39548869","41068813.34929123"
"18-Feb-25","15571390.023744093","378716476.67762","8373457.121448914","100043841.70446","202126411.62558","174761374.371093","174761374.371093","209465178.57682618","76658162.29","6787245917.892001","759594003.674807","4284.964849479336","1056226.336347714","6514337.957307043","79829.73778538674","50536736.571614","32412553.67060959","34518701.85919808"
"19-Feb-25","8442869.824529283","338061723.012305","8515785.82354777","86104816.54795","114567659.52242596","116625351.85440001","116625351.85440001","111219875.15558137","80185207.03","3901859790.8559723","431459107.276826","778.9225160723091","705725.4403385738","358047.94710916537","59409.91632915499","40501390.148683","15992165.00032108","24011450.308550846"
"20-Feb-25","15181921.715402614","355914828.955865","7760274.86872956","103165089.34202","114032954.21694998","173054840.897432","173054840.897432","686366958.9749318","79763709.33","5037378690.966618","324554206.653555","1239.889167719946","12050.529078331148","680544.8201494401","115538.501329603","37038139.245358","13584501.36650571","33700424.04398991"
"21-Feb-25","28997553.257537868","413702436.98996997","12063137.73800588","91175883.96474001","152653675.51382804","284229971.7773","284229971.7773","733175160.3393306","79385121.99","10385529202.052305","612914379.617676","3369.289421561717","1382924.6576506298","1555738.3427649895","241972.4973137887","68724682.540497","17657550.14801744","71225608.80303983"
"22-Feb-25","13496322.133050922","359766812.20923","4358381.490511416","68192693.14636","51816365.61294801","90873028.38319999","90873028.38319999","208707761.29183698","79028593.23","3022212830.22437","202100839.802058","0","1012970.841681539","264299.89638401865","72736.40850586798","30663507.701663","14843417.2505789","20067778.42060335"
"23-Feb-25","9185437.644836323","345168732.20530504","6698322.294993928","75382124.71053","52269485.596775","119053959.57530001","119053959.57530001","98200789.39011219","97461969.72","3357930484.6802087","196123655.736635","17595.90814966563","741321.8891246757","352384.9917922775","111904.4559596409","34342948.688839","12393579.55532614","20468632.461375218"
"24-Feb-25","21510597.59752822","378542646.34539497","9027431.92477675","171255226.09558","264195764.45286778","269491121.8466","269491121.8466","522303914.3454254","86172085.54","9442757917.150442","1031218841.538205","24194.45097279117","398618.6716874683","1524362.2312496041","584271.1847942285","51820282.000245","44454395.04151115","58483215.96357985"
"25-Feb-25","27021386.28565231","411604485.05898505","12562840.48514181","151764417.43689","185669480.61985302","553054511.2051","553054511.2051","238151135.43509978","95166061.07","13212926718.15892","1112478068.20715","3976.3593250621266","7783.436570064702","5071436.360561622","915441.8414943326","60728685.192728","41998186.48684897","78777211.78026435"
"26-Feb-25","15464502.430821251","474862242.98935497","10849108.26360709","117963101.54119","117047889.49574302","411611372.7038","411611372.7038","228671190.71435136","73613737.2","9361694443.808464","768153854.588488","2315.6186886474575","11857.45016862745","3081521.4004743197","235596.3283188783","67104977.901598","52937352.87347344","55958681.72039338"
"27-Feb-25","9634272.026530461","424293381.46958","6593735.515286027","74879952.30599","88919772.62784594","256881461.3607","256881461.3607","122614225.9055145","78062577.14","6796939578.979757","458370778.987099","0","16883.950238545167","1378029.4703004574","93433.44097671582","77501030.730747","24736218.04295847","51724210.32451484"
"28-Feb-25","25379046.498335846","613011043.01215","10607622.26332353","71685413.85571","164021894.2194849","625701059.0160999","625701059.0160999","342025957.97314113","87660127.77","11157922813.2335","913447605.413237","67744.20896155381","27149.973352995217","6460006.534232643","246451.1365723686","75249564.760957","48003148.38792557","85576623.63969523"
"01-Mar-25","11884174.474691326","432458497.89632","4955075.827929821","111058690.42108999","81323266.280985","141877121.009373","141877121.009373","392097549.16673535","76273443.92","4300489522.682419","381106919.840427","0","679.7506440000001","252229.18498375002","42133.61579036833","42257855.552615","21932876.72723838","24742536.17070425"
"02-Mar-25","29032489.36813345","599301825.042285","10611173.36003185","108007438.04318","193344161.67745098","786144956.6123","786144956.6123","274631081.09965587","95870106.04","11125716133.361837","1256553248.350847","0","730.7561188578375","3273529.866745851","191714.0391709367","89702732.58344999","33790655.35507601","64805980.07280013"
"03-Mar-25","32922215.82759125","666033430.70015","9336625.867807327","95175904.8481","212543781.18749696","533249247.77930003","533249247.77930003","283505747.3064329","83935900.73","11687296548.937178","1164285001.074689","360.3736277118002","19988.59277689227","3690599.3578048763","212446.343177297","92956511.536951","68836287.30725119","59142520.44476055"
"04-Mar-25","32371590.262161355","718153058.1405799","7667861.422762468","85491569.0138","137275353.707784","586127058.3106999","586127058.3106999","340757797.6428127","70433829.12","10923024321.65941","872804073.966715","19251.18297645414","5970.82452113855","4737219.112547539","190091.6873802722","69696925.430111","25292125.3542732","64552623.61292104"
"05-Mar-25","16413912.521837348","439554371.223825","5510327.900280058","126777463.77876002","80864974.74826995","252671853.9866","252671853.9866","97641552.76558441","85620858.36","6393102152.209929","531718683.418451","0","7657.263118858222","2310615.599389915","104226.1067322496","63467681.609635","11274669.08020245","44092804.77187866"
"06-Mar-25","13310181.082685629","403014250.52420497","10299869.13064676","95715861.38622999","91331016.078045","261971877.675513","261971877.675513","139387236.06565702","123018474.14","6898925843.815731","576135386.100301","23367.30416961832","585.7497093417729","2871555.2633756087","136285.131416495","80974659.638121","11941000.54134258","44882496.76116629"
"07-Mar-25","20760770.536707547","515096480.98623997","8701635.650297757","64281394.338240005","134091323.78355701","701549751.590292","701549751.590292","213231858.5366511","86321333.63","10328312158.948517","942838956.4738","16002.843175332167","25639.25738079475","3810495.3090491663","149029.6276955018","75391792.064194","17128185.04128544","72135354.0430121"
"08-Mar-25","5121925.506432587","362507250.3883","4025822.420820567","66352560.14372999","50491958.220556006","177171558.6079","177171558.6079","56142240.089312606","93367974.42","2704382867.5745864","283638392.19636","8998.65957031271","2137.156354028234","401873.51460649166","149827.1413519755","38344875.050321","3981195.649054315","14849229.015490307"
"09-Mar-25","9379369.632864509","321839075.88775","13827241.44772076","73034811.39804001","85957299.96703199","314668532.8703","314668532.8703","194048644.40558177","80010794.97","5412422029.1008835","530861064.181918","584.7629394656411","","1596872.644284431","104691.8500636804","64979128.148802","18189944.07882351","26911611.95980098"
"10-Mar-25","17036128.958207905","354264900.36772","14415171.5101156","71467814.40624","133894247.369109","641859339.665696","641859339.665696","204644165.4344802","103532865.18","9662861733.834816","645181629.243077","29778.134056780706","60184.28780303245","1628527.3302974734","247686.2024162697","91134819.591003","28342496.08780077","47981068.48974387"
"11-Mar-25","18707671.103843164","362366252.35359","6548917.222994087","55764398.181770004","144823725.59330496","490641081.1098","490641081.1098","140433981.5877258","87569947.69","8230997836.53779","417349924.841902","32176.040706033713","54188.47899714655","623228.1728886968","307146.5101030184","63715023.574464","15652622.03016863","39257692.89159112"
"12-Mar-25","12832849.153863242","332471822.728135","10825288.52689513","65011298.04491","109325036.70203596","300433181.3172","300433181.3172","138026389.69331607","63564549.43","7385946216.235805","272016318.269151","20691.435083218814","59381.73583779435","513600.8825264151","190252.3998313453","63783068.843782","13283318.19601747","38948310.51873042"
"13-Mar-25","7230832.572722288","323460203.21167","7402359.821833514","50498199.531440005","91690068.18776101","194928214.9864","194928214.9864","426326157.519849","53949280.46","4794383453.130344","236374917.459435","4703.312406674662","43160.4106120912","201850.77944965984","108763.9931674873","60918685.773046","12600148.00158285","33468682.032032885"
"14-Mar-25","6340854.477407243","314902154.161115","7977815.538451094","50363930.34339","81074530.49266899","154070107.3883","154070107.3883","154351348.02789667","105992864.84","4206697098.3932104","211592943.811829","712286.4556753654","59390.91704263262","677009.1225740544","62494.59492277169","53924918.794893","12649123.4543404","29194635.40709938"
"15-Mar-25","5100794.698988292","300667415.125255","3977198.122249277","72453097.4874","44678188.50410701","95452419.2863","95452419.2863","277839409.73315597","","2136911541.3575256","103409590.629463","102472.83880643731","11882.881983405374","874785.7006657994","30077.83112502127","32478907.859787","8768676.980925934","13031950.136717567"
"16-Mar-25","6423214.818886873","320525628.80368996","10516995.3243467","87607815.12898001","78197576.81240505","127935833.5289","127935833.5289","132184601.76859018","53600647.92","3662298195.664772","214517502.927082","449937.06159579917","30387.98562965982","5456710.528846805","58549.38272671516","49596082.991511","7840248.199752646","22379069.950292394"
